,property_url,property_id,listing_id,mls,mls_id,status,text,style,full_street_line,street,unit,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,days_on_mls,list_price,list_date,sold_price,assessed_value,estimated_value,new_construction,lot_sqft,price_per_sqft,latitude,longitude,neighborhoods,county,fips_code,stories,hoa_fee,parking_garage,nearby_schools,dist_to_cwru_mi,price_per_bed,price_per_sqft_ann,price_per_sqft_per_bed_ann
54,https://www.realtor.com/rentals/details/1448-Clermont-Rd_Cleveland_OH_44110_M45431-70455,4543170455,2975283063,AVAL,61232143,FOR_RENT,"Fully renovated home with stainless steel appliances, enclosed front porch, hardwood floors, updated kitchen and bathroom, new ceiling fans with remote controls. This home was renovated with love! We are looking for someone who will treat this home as if it were their own! No pets, No Smoking. Minimum credit score of 625.",SINGLE_FAMILY,1448 Clermont Rd,1448 Clermont Rd,,Cleveland,OH,44110,2,1,1,1056,,8,1350,2024-11-22,31500,12150,111660,False,,1,41.567816,-81.55197,South Collinwood,Cuyahoga,39035,,,,Cleveland Metropolitan School District,5.270288404291124,675.0,15.340909090909092,7.670454545454546
56,https://www.realtor.com/rentals/details/3328-Euclid-Ave-Apt-105_Cleveland_OH_44115_M97759-79773,9775979773,2975277491,AVAL,61232744,FOR_RENT,"Stockbridge Apartments Cleveland Ohio - Live at the property where the millionaires from Cleveland's history lived. This first floor apartment boasts hardwood floors and tons of historic character but still provides modern amenities like onsite laundry, secured parking, and on the bus line. Near Cleveland State University.",APARTMENT,3328 Euclid Ave Apt 105,3328 Euclid Ave,Apt 105,Cleveland,OH,44115,0,1,,310,,9,695,2024-11-21,,,,False,,2,41.502502,-81.663757,MidTown,Cuyahoga,39035,,,,"Cleveland Metropolitan School District, University of Cleveland Prep, Invictus High School School District, Stepstone Academy School District",2.8745671883067963,695.0,26.903225806451612,26.903225806451612
57,https://www.realtor.com/rentals/details/3328-Euclid-Ave-Apt-408_Cleveland_OH_44115_M90976-67670,9097667670,2975277483,AVAL,61232749,FOR_RENT,"Stockbridge Apartments Cleveland Ohio -Live at the property where the millionaires from Cleveland's history lived. This first floor apartment boasts hardwood floors and tons of historic character but still provides modern amenities like onsite laundry, secured parking, and on the bus line. Near Cleveland State University",APARTMENT,3328 Euclid Ave Apt 408,3328 Euclid Ave,Apt 408,Cleveland,OH,44115,0,1,,390,,9,695,2024-11-21,,,,False,,2,41.502502,-81.663757,MidTown,Cuyahoga,39035,,,,"Cleveland Metropolitan School District, University of Cleveland Prep, Invictus High School School District, Stepstone Academy School District",2.8745671883067963,695.0,21.384615384615383,21.384615384615383
60,https://www.realtor.com/rentals/details/414-Jefferson-Ave_Cleveland_OH_44113_M92617-02171,9261702171,2975260220,NEOH,5085624,FOR_RENT,"Discover luxury living at Tremont Towpath Townhomes! This exceptional end unit combines sleek design with an unbeatable location, offering everything needed for a vibrant city lifestyle. The open floor plan is bathed in natural light from large windows. The main level features luxury vinyl plank flooring throughout, with a spacious living area that flows seamlessly into a stylish kitchen equipped with stainless steel appliances, quartz countertops, ample storage, and a convenient half bath with a pocket door. On the second floor, you'll find two bright bedrooms with generous closet space and two full bathrooms, each finished with quartz countertops and ceramic tile flooring. The primary bath includes an impeccably tiled shower for an added touch of luxury. The third floor leads to a private rooftop deck through a ceramic-tiled entry, providing sweeping views of the city skyline. Additional highlights include a flex space by the attached two-car garage with ceramic tile flooring, laundry hookups, and extra storage. Custom blinds and low-maintenance composite decking on the rooftop deck and front balcony complete this sophisticated, easy-care home. Conveniently located, this townhome is just 12 minutes from the Cleveland Clinic main campus, 8 minutes from downtown Cleveland, under 15 minutes from Case Western Reserve and Cleveland State University, and only 12 minutes from Edgewater Beach.",TOWNHOMES,414 Jefferson Ave,414 Jefferson Ave,,Cleveland,OH,44113,2,2,1,1682,2021,9,4000,2024-11-21,472500,13690,495661,False,2418,2,41.481897,-81.681117,Tremont,Cuyahoga,39035,,,2,"Cleveland Metropolitan School District, Northeast Ohio College Preparatory School",4.07758493470407,2000.0,28.53745541022592,14.26872770511296
66,https://www.realtor.com/rentals/details/3318-W-30th-St_Cleveland_OH_44109_M46341-41696,4634141696,2975210488,NEOH,5086220,FOR_RENT,"3318 W 30th St | UP, Cleveland - Spacious 2 bed 1 bath multi-family home! // $ 900 rent / $ 900 deposit // $49 application fee per adult // 1-2 pets OK in this unit. After application pre-approval, a PetScreening is required for any animals to proceed with one of our properties; a PetScreening affidavit is still required if you have no pets. (Some breed restrictions apply per HUD guidelines). // NO SMOKING // 1 time $129 non-refundable set up fee paid at lease signing // $30/month required resident benefit package; can include personal property/liability insurance for an additional $5/month for $35/month total. // After application Pre-Approval 1 applicant per household application is required to fill out a PetScreening application, before being about to proceed with placing a Reservation Fee for one of our properties. You will receive a pre-approval for your application and in order to proceed, the PetScreening is required. Even if you have NO pets - this application must be filled out. One time, non-refundable pet fee of $200-500 per animal applies to all pets & must be paid before or when you pay your first month rent. (No fee for qualified assistance animals). // Our application is processed through secure site: Findigs, and they require ID and income verification. Without this, your application will not be processed. They offer 24/7 chat support on their application directly if you have any questions. // BEDROOMS: 2 // BATHROOMS: 1 // APPLIANCES PROVIDED: N/A // UTILITIES / RESIDENT RESPONSIBILITY: Resident pays gas and electric and is responsible for snow removal. // Serious inquiries only.",MULTI_FAMILY,3318 W 30th St Unit 2 /Up,3318 W 30th St,Unit 2 /Up,Cleveland,OH,44109,2,1,,848,1880,10,900,2024-11-20,29000,17190,171670,False,,1,41.463835,-81.702052,Clark - Fulton,Cuyahoga,39035,2,0,,Cleveland Metropolitan School District,5.605217685959467,450.0,12.735849056603774,6.367924528301887
67,https://www.realtor.com/rentals/details/9609-Pierpont-Ave-11_Cleveland_OH_44108_M93060-85174,9306085174,2975194975,RNTR,10273024,FOR_RENT,"Charming 2-Bedroom, 1-Bath Duplex Perfect for Comfortable Living! Looking for a cozy and convenient place to call home? This beautifully maintained 2-bedroom, 1-bath duplex unit offers the perfect balance of space, comfort, and functionality.",CONDOS,9609 Pierpont Ave Unit 11,9609 Pierpont Ave,Unit 11,Cleveland,OH,44108,2,1,,1350,1920,10,845,2024-11-20,,,,False,,1,41.529495,-81.621864,Glenville,Cuyahoga,39035,,,,"Cleveland Metropolitan School District, Horizon Science Academy Cleveland",1.8737596399668979,422.5,7.511111111111111,3.7555555555555555
68,https://www.realtor.com/rentals/details/3328-Euclid-Ave-Apt-306_Cleveland_OH_44115_M92972-70742,9297270742,2975277497,AVAL,61232747,FOR_RENT,"Stockbridge Apartments Cleveland Ohio - Live at the property where the millionaires from Cleveland's history lived. This first floor apartment boasts hardwood floors and tons of historic character but still provides modern amenities like onsite laundry, secured parking, and on the bus line. Near Cleveland State University",APARTMENT,3328 Euclid Ave Apt 306,3328 Euclid Ave,Apt 306,Cleveland,OH,44115,2,1,,725,,9,1150,2024-11-21,,,,False,,2,41.502502,-81.663757,MidTown,Cuyahoga,39035,,,,"Cleveland Metropolitan School District, University of Cleveland Prep, Invictus High School School District, Stepstone Academy School District",2.8745671883067963,575.0,19.03448275862069,9.517241379310345
71,https://www.realtor.com/rentals/details/408-W-Saint-Clair-Ave-Apt-607_Cleveland_OH_44113_M34818-76400,3481876400,2975167701,AVAL,61230755,FOR_RENT,"Cleveland Rock Haven with Whirlpool Tub Soak. Embrace the Beat of Downtown Living. Relax after a Busy Workday or Weekend Escape. Immerse in the Charms of Clevelandstart with an RTA ride from the airport to the Iconic Rock 'n' Roll Hall of Fame, Playhouse Square, and First Energy Stadium. Explore Nearby Concerts and Bars, all within Walking Distance. Take a Breezy Bike Ride to the Beach. End Your Day with a Carefully Curated Retreat to Soak in a Personal Whirlpool Tub, Where Every Moment Rocks.",APARTMENT,408 W Saint Clair St Unit 607,408 W Saint Clair St,Unit 607,Cleveland,OH,44113,1,1,,645,,11,1500,2024-11-19,150000,36060,163841,False,,2,41.50009,-81.698207,"Downtown Cleveland, Warehouse District",Cuyahoga,39035,,,,"Cleveland Metropolitan School District, Promise Academy, Near West Intergenerational School",4.668269388230014,1500.0,27.906976744186046,27.906976744186046
72,https://www.realtor.com/rentals/details/8216-Rosewood-Ave_Cleveland_OH_44105_M31311-10701,3131110701,2975183642,NEOH,5086023,FOR_RENT,"This charming upstairs unit of a two-family home offers 2 spacious bedrooms and 1 full bathroom, making it an ideal rental. The large dining and living rooms feature beautiful hardwood floors, while the bedrooms are carpeted for added comfort. Freshly painted in November 2024, the space feels bright and inviting. A private balcony accessible from the living room provides the perfect spot to enjoy a morning coffee or an evening cup of tea. Additional amenities include a laundry hookup in the basement, plenty of storage space, and the convenience of water and sewer included in the rent.",MULTI_FAMILY,8216 Rosewood Ave Unit Up,8216 Rosewood Ave,Unit Up,Cleveland,OH,44105,2,1,,1021,1920,11,995,2024-11-19,56000,22860,114559,False,5619,1,41.435764,-81.62793,"Broadway Slavic Village, South Broadway",Cuyahoga,39035,2,0,2,"Cleveland Metropolitan School District, Hope Academy Northcoast",4.837177435376716,497.5,11.694417238001959,5.8472086190009795
78,https://www.realtor.com/rentals/details/3015-Monroe-Ave_Cleveland_OH_44113_M45456-90538,4545690538,2975139070,NEOH,5085839,FOR_RENT,"Check out this newly updated, brick colonial rental in the heart of Ohio City just south of the Market Square District. Character is the perfect word to describe this home which is immediately evident from the curb with its abstract, painted brick exterior. Upon entry, you will find the enclosed front porch is perfect for a spacious mud room. The home offers three nice-sized bedrooms and two full bathrooms overall with one each on the first floor, adjacent to the new laundry machines. It also has a nice bonus room that would be perfect for a home office or study along with ample dining and living space. Key interiors features/updates include all new bathrooms with artisan soaking tub, new flooring, windows, lighting, appliances and more. Aside from the amazing location, the yard is expansive and fenced for those who have dogs. The heavily treed property is private and set-up to entertain with its own fire pit. Plenty of street parking available. Superb walkability in this section of the neighborhood on the northern edge of the Red Line Greenway Metroparks Trail. Close to Market Square & Lincoln Park with nearby cafes, shops, art galleries & restaurants on Clevelands near West side!",SINGLE_FAMILY,3015 Monroe Ave,3015 Monroe Ave,,Cleveland,OH,44113,3,2,,1696,1890,12,1700,2024-11-18,15500,28360,181300,False,3541,1,41.47946,-81.704681,Ohio City,Cuyahoga,39035,2,0,,"Cleveland Metropolitan School District, Frederick Douglass Reclamation Academy",5.2818101223624705,566.6666666666666,12.028301886792454,4.009433962264151
